section_id,section_name,row_id,row_name
1,Top Deck 6,0,A
1,Top Deck 6,2,C
1,Top Deck 6,1,B
1,Top Deck 6,4,E
1,Top Deck 6,3,D
1,Top Deck 6,6,G
1,Top Deck 6,5,F
1,Top Deck 6,7,H
1,Top Deck 6,9,K
1,Top Deck 6,8,J
1,Top Deck 6,11,M
1,Top Deck 6,10,L
1,Top Deck 6,13,O
1,Top Deck 6,12,N
1,Top Deck 6,14,W
2,Baseline Club 31,0,1
2,Baseline Club 31,2,3
2,Baseline Club 31,1,2
2,Baseline Club 31,4,5
2,Baseline Club 31,3,4
2,Baseline Club 31,6,7
2,Baseline Club 31,5,6
2,Baseline Club 31,7,8
3,Loge Box 152,0,A
3,Loge Box 152,2,C
3,Loge Box 152,1,B
3,Loge Box 152,4,E
3,Loge Box 152,3,D
3,Loge Box 152,6,G
3,Loge Box 152,5,F
3,Loge Box 152,7,H
3,Loge Box 152,9,K
3,Loge Box 152,8,J
3,Loge Box 152,11,M
3,Loge Box 152,10,L
3,Loge Box 152,13,O
3,Loge Box 152,12,N
3,Loge Box 152,14,P
3,Loge Box 152,16,S
3,Loge Box 152,15,R
3,Loge Box 152,17,T
4,Loge Box 153,0,A
4,Loge Box 153,2,C
4,Loge Box 153,1,B
4,Loge Box 153,4,E
4,Loge Box 153,3,D
4,Loge Box 153,6,G
4,Loge Box 153,5,F
4,Loge Box 153,7,H
4,Loge Box 153,9,K
4,Loge Box 153,8,J
4,Loge Box 153,11,M
4,Loge Box 153,10,L
4,Loge Box 153,13,O
4,Loge Box 153,12,N
4,Loge Box 153,14,P
4,Loge Box 153,16,S
4,Loge Box 153,15,R
4,Loge Box 153,17,T
5,Loge Box 150,0,A
5,Loge Box 150,2,C
5,Loge Box 150,1,B
5,Loge Box 150,4,E
5,Loge Box 150,3,D
5,Loge Box 150,6,G
5,Loge Box 150,5,F
5,Loge Box 150,7,H
5,Loge Box 150,9,K
5,Loge Box 150,8,J
5,Loge Box 150,11,M
5,Loge Box 150,10,L
5,Loge Box 150,13,O
5,Loge Box 150,12,N
5,Loge Box 150,14,P
5,Loge Box 150,16,S
5,Loge Box 150,15,R
5,Loge Box 150,17,T
5,Loge Box 150,18,W
6,Loge Box 151,0,A
6,Loge Box 151,2,C
6,Loge Box 151,1,B
6,Loge Box 151,4,E
6,Loge Box 151,3,D
6,Loge Box 151,6,G
6,Loge Box 151,5,F
6,Loge Box 151,7,H
6,Loge Box 151,9,K
6,Loge Box 151,8,J
6,Loge Box 151,11,M
6,Loge Box 151,10,L
6,Loge Box 151,13,O
6,Loge Box 151,12,N
6,Loge Box 151,14,P
6,Loge Box 151,16,S
6,Loge Box 151,15,R
6,Loge Box 151,17,T
7,Loge Box 156,0,A
7,Loge Box 156,2,C
7,Loge Box 156,1,B
7,Loge Box 156,4,E
7,Loge Box 156,3,D
7,Loge Box 156,6,G
